GEOID,City,SR_point_count,311_SRI_score,SNI_score,ES_score
24510240400,baltimore,2107,34.26,97.23652127,-62.97652127
24510250101,baltimore,2908,42.93,5.973990788,36.95600921
24510250102,baltimore,2358,37.13,8.398807911,28.73119209
24510250103,baltimore,2895,42.8,94.17502032,-51.37502032
24510250203,baltimore,1167,21.58,42.71200217,-21.13200217
24510250204,baltimore,882,16.76,37.75399621,-20.99399621
24510250205,baltimore,4163,54.37,96.34245462,-41.97245462
24510250206,baltimore,4195,54.64,97.6429152,-43.0029152
24510250207,baltimore,795,15.14,33.39203468,-18.25203468
24510250301,baltimore,4167,54.41,81.22460038,-26.81460038
24510250303,baltimore,3650,49.94,87.23923056,-37.29923056
24510250401,baltimore,8725,85.57,88.30940125,-2.739401246
24510250402,baltimore,6206,69.77,18.42319155,51.34680845
24510250500,baltimore,11399,100,96.17989705,3.820102953
24510250600,baltimore,936,17.73,94.16147386,-76.43147386
24510260101,baltimore,3359,47.28,45.01490111,2.265098889
24510260102,baltimore,3728,50.63,30.77756705,19.85243295
24510260201,baltimore,2053,33.62,64.45407749,-30.83407749
24510260202,baltimore,4341,55.85,25.12869141,30.72130859
24510260203,baltimore,2182,35.14,11.98862097,23.15137903
24510260301,baltimore,6665,72.86,51.88295855,20.97704145
24510260302,baltimore,6619,72.56,54.63289082,17.92710918
24510260303,baltimore,1235,22.64,61.35193714,-38.71193714
24510260401,baltimore,1910,31.89,71.8639935,-39.9739935
24510260402,baltimore,1280,23.33,36.9953942,-13.6653942
24510260403,baltimore,1225,22.49,43.70089407,-21.21089407
24510260404,baltimore,7884,80.59,99.91872121,-19.32872121
24510260501,baltimore,7956,81.02,99.17366567,-18.15366567
24510260604,baltimore,1548,27.18,4.145218098,23.0347819
24510260605,baltimore,6227,69.92,98.84855053,-28.92855053
24510260700,baltimore,4793,59.46,95.24519101,-35.78519101
24510260800,baltimore,7082,75.58,90.07044161,-14.49044161
24510260900,baltimore,4473,56.92,95.39420211,-38.47420211
24510261000,baltimore,7185,76.24,73.8011379,2.438862097
24510261100,baltimore,2574,39.48,78.16309943,-38.68309943
24510270101,baltimore,1761,30.01,16.67569764,13.33430236
24510270102,baltimore,3171,45.51,26.33432674,19.17567326
24510270200,baltimore,2147,34.73,66.26930371,-31.53930371
24510270301,baltimore,2576,39.5,30.83175291,8.668247088
24510270302,baltimore,1436,25.62,35.96586291,-10.34586291
24510270401,baltimore,4590,57.86,44.36467082,13.49532918
24510270402,baltimore,3102,44.84,37.63207803,7.207921972
24510270501,baltimore,3548,49.02,48.52343538,0.496564617
24510270502,baltimore,3692,50.31,51.89650501,-1.586505012
24510270600,baltimore,3957,52.63,53.29179084,-0.661790843
24510270701,baltimore,201,0,7.640205906,-7.640205906
24510270702,baltimore,1580,27.62,40.24654565,-12.62654565
24510270703,baltimore,2282,36.28,33.89325386,2.386746139
24510270801,baltimore,4356,55.97,14.14250881,41.82749119
24510270802,baltimore,3681,50.22,32.52506096,17.69493904
24510270803,baltimore,4029,53.24,48.88918992,4.350810079
24510270804,baltimore,1778,30.23,11.406123,18.823877
24510270805,baltimore,5199,62.56,64.64372799,-2.083727987
24510270901,baltimore,3067,44.5,15.5513411,28.9486589
24510270902,baltimore,3978,52.81,35.30208616,17.50791384
24510270903,baltimore,2462,38.28,55.56759686,-17.28759686
24510271001,baltimore,2289,36.36,16.60796532,19.75203468
24510271002,baltimore,4805,59.55,26.40205906,33.14794094
24510271101,baltimore,825,15.71,28.19019236,-12.48019236
24510271102,baltimore,1319,23.91,41.1406123,-17.2306123
24510271200,baltimore,5176,62.39,76.3885126,-13.9985126
24510271300,baltimore,2184,35.16,47.80547277,-12.64547277
24510271400,baltimore,2295,36.43,58.34462205,-21.91462205
24510271501,baltimore,4344,55.87,87.0360336,-31.1660336
24510271503,baltimore,768,14.62,39.50149011,-24.88149011
24510271600,baltimore,4584,57.81,37.34760228,20.46239772
24510271700,baltimore,5253,62.97,71.52533189,-8.555331888
24510271801,baltimore,4074,53.62,65.5513411,-11.9313411
24510271802,baltimore,4455,56.78,57.55892712,-0.77892712
24510271900,baltimore,3557,49.1,51.30046058,-2.20046058
24510272003,baltimore,4377,56.14,5.852072609,50.28792739
24510272004,baltimore,814,15.5,5.29666757,10.20333243
24510272005,baltimore,1871,31.41,4.876727174,26.53327283
24510272006,baltimore,1881,31.53,25.08805202,6.441947982
24510272007,baltimore,2205,35.4,38.3635871,-2.963587104
24510280101,baltimore,2985,43.7,98.99756164,-55.29756164
24510280102,baltimore,4537,57.44,89.24410729,-31.80410729
24510280200,baltimore,4116,53.98,27.567055,26.412945
24510280301,baltimore,1181,21.8,2.858303983,18.94169602
24510280302,baltimore,1539,27.06,1.137903007,25.92209699
24510280401,baltimore,2751,41.34,33.48685993,7.85314007
24510280402,baltimore,1788,30.36,5.107017069,25.25298293
24510280403,baltimore,3302,46.75,23.4218369,23.3281631
24510280404,baltimore,1771,30.14,5.201842319,24.93815768
24510280500,baltimore,2072,33.85,95.34001626,-61.49001626
24510280600,baltimore,3140,45.21,32.30831753,12.90168247
25025000101,boston,1034,39.37,42.14305066,-2.773050664
25025000102,boston,1173,41.93,97.81901924,-55.88901924
25025000201,boston,1680,50.18,88.83771336,-38.65771336
25025000202,boston,1365,45.23,55.48631807,-10.25631807
25025000301,boston,1157,41.65,55.31021403,-13.66021403
25025000302,boston,1420,46.14,50.33866161,-4.198661609
25025000401,boston,1840,52.52,35.34272555,17.17727445
25025000402,boston,2464,60.77,40.47683555,20.29316445
25025000502,boston,1158,41.66,82.75535085,-41.09535085
25025000503,boston,551,28.74,48.10349499,-19.36349499
25025000505,boston,553,28.79,48.36087781,-19.57087781
25025000506,boston,796,34.54,50.50121918,-15.96121918
25025000601,boston,1566,48.45,78.19019236,-29.74019236
25025000603,boston,161,15.54,38.22812246,-22.68812246
25025000604,boston,783,34.26,40.12462747,-5.864627472
25025000701,boston,1012,38.95,70.69899756,-31.74899756
25025000703,boston,804,34.72,99.34976971,-64.62976971
25025000704,boston,1222,42.8,93.99891628,-51.19891628
25025000804,boston,1852,52.69,98.4421566,-45.7521566
25025000805,boston,1204,42.48,96.53210512,-54.05210512
25025000806,boston,208,17.66,87.69981035,-70.03981035
25025000807,boston,123,13.58,99.02465457,-85.44465457
25025010103,boston,170,15.96,95.75995665,-79.79995665
25025010104,boston,1621,49.29,99.40395557,-50.11395557
25025010204,boston,801,34.65,98.64535356,-63.99535356
25025010205,boston,626,30.63,77.36385803,-46.73385803
25025010206,boston,757,33.69,97.27716066,-63.58716066
25025010300,boston,291,20.89,87.67271742,-66.78271742
25025010403,boston,1138,41.3,78.5559469,-37.2559469
25025010404,boston,668,31.64,91.66892441,-60.02892441
25025010405,boston,552,28.77,98.88918992,-70.11918992
25025010408,boston,281,20.52,18.65348144,1.866518559
25025010500,boston,1456,46.72,94.41885668,-47.69885668
25025010600,boston,1959,54.19,99.07884042,-44.88884042
25025010701,boston,2918,66.14,99.28203739,-33.14203739
25025010702,boston,2482,61,99.47168789,-38.47168789
25025010801,boston,1449,46.61,37.55079924,9.059200759
25025010802,boston,2759,64.31,55.21538878,9.094611216
25025020101,boston,4378,81.01,93.28095367,-12.27095367
25025020200,boston,6671,100,89.08154972,10.91845028
25025020301,boston,574,29.33,92.96938499,-63.63938499
25025020302,boston,2245,58.01,88.20102953,-30.19102953
25025020304,boston,465,26.4,95.43484151,-69.03484151
25025020305,boston,293,20.96,96.35600108,-75.39600108
25025030100,boston,2196,57.37,40.42264969,16.94735031
25025030200,boston,1897,53.33,91.7095638,-38.3795638
25025030301,boston,243,19.09,78.96234083,-59.87234083
25025030302,boston,1690,50.33,99.09238689,-48.76238689
25025030400,boston,3442,71.83,97.54808995,-25.71808995
25025030500,boston,1624,49.34,67.19046329,-17.85046329
25025040100,boston,1207,42.54,92.61717692,-50.07717692
25025040200,boston,650,31.21,51.76104037,-20.55104037
25025040300,boston,1736,51.01,43.55188296,7.458117041
25025040401,boston,1327,44.6,96.70820916,-52.10820916
25025040600,boston,2223,57.73,95.59739908,-37.86739908
25025040801,boston,660,31.45,70.6854511,-39.2354511
25025050101,boston,1575,48.59,26.64589542,21.94410458
25025050200,boston,2010,54.89,69.87266323,-14.98266323
25025050300,boston,648,31.17,52.46545652,-21.29545652
25025050400,boston,1142,41.37,76.60525603,-35.23525603
25025050500,boston,679,31.9,66.87889461,-34.97889461
25025050600,boston,1189,42.22,97.67000813,-55.45000813
25025050700,boston,2008,54.86,68.00325115,-13.14325115
25025050901,boston,2238,57.92,93.34868599,-35.42868599
