city,code,code_type,full_name,standard_category
austin,AG,current_code_flat,Agricultural District,open_space
austin,AV,current_code_flat,Aviation Services District,other
austin,DR,current_code_flat,Development Reserve District,other
austin,P,current_code_flat,Public District,institutional
austin,TOD,current_code_flat,Transit Oriented Development District,mixed-use
baltimore,R-3,current_code_flat,Detached Residential District,residential
baltimore,R-4,current_code_flat,Detached and Semi-Detached Residential District,residential
baltimore,R-5,current_code_flat,Transitional Residential District,residential
baltimore,R-6,current_code_flat,Garden Rowhouse Residential District,residential
baltimore,R-7,current_code_flat,Mixed Residential District,residential
baltimore,R-8,current_code_flat,Rowhouse Residential District,residential
baltimore,OR,current_code_flat,Office-Residential District,mixed-use
baltimore,C-1,current_code_flat,Commercial District,commercial
baltimore,C-1-E,current_code_flat,Commercial District (Employment variant),commercial
baltimore,C-1-VC,current_code_flat,Commercial District (Village Center variant),commercial
baltimore,C-2,current_code_flat,Commercial District,commercial
baltimore,C-3,current_code_flat,Commercial District,commercial
baltimore,OIC,current_code_flat,Office-Industrial Campus District,mixed-use
baltimore,IMU-1,current_code_flat,Industrial Mixed-Use District,mixed-use
baltimore,IMU-2,current_code_flat,Industrial Mixed-Use District,industrial
baltimore,I-1,current_code_flat,Light Industrial District,industrial
baltimore,I-2,current_code_flat,General Industrial District,industrial
baltimore,MI,current_code_flat,Maritime Industrial District,industrial
